"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18"
"GB_GCA_017302015.1",0.0386202441215309,0.551203379413032,-0.324900043884533,-0.093683700172228,-0.956601425125433,-1.20311714369375,0.587237700043243,0.507794606757498,-0.096597298208233,-0.587988714245299,0.505067423929785,-0.565501615984693,0.472370446145927,-0.167752570786838,0.578241605475674,-0.0360207219304606,-0.101095428052901,0.0105079409164164
"GB_GCA_013151965.1",0.720871090631314,0.397942889213872,-0.271112928017657,0.249815677010455,0.710731867255476,2.45586078238602,-0.175456991920667,-0.136841423638439,-0.668093652394294,-0.150057185194848,-0.358313047881736,0.234192664490173,0.0953431571218788,0.433038510745584,-0.044712830754467,0.560449763672035,-0.294930065773274,-0.0740785052670431
"RS_GCF_000243715.2",-0.3345181973345,0.51808967890432,0.553792485810129,0.447679731697473,0.141114669528995,-1.0166151659609,0.227112059644266,-0.105931303040735,0.227554707463153,0.927493765269274,0.398449152666424,0.355055351562868,-0.530736313841608,-0.567837205130559,-0.816296235725352,0.233679498998134,-0.525601301020761,-0.0635622970974061
"RS_GCF_002811475.1",-0.467093602503667,0.508840476893676,0.340807594434103,0.20691970781539,0.411466594979057,-0.905813781456006,0.273271604532211,-0.147584319382197,0.0807362384702618,0.96447230343552,0.507464178617222,-0.130799728064934,-0.0220825636702748,-0.764587161880202,-0.0335959124493139,-0.591335627357405,-0.647283759376901,-0.00618241099143762
"RS_GCF_004769575.1",-0.467093602503667,0.508840476893676,0.340807594434103,0.20691970781539,0.411466594979057,-0.905813781456006,0.273271604532211,-0.147584319382197,0.0807362384702618,0.96447230343552,0.507464178617222,-0.130799728064934,-0.0220825636702748,-0.764587161880202,-0.0335959124493139,-0.591335627357405,-0.647283759376901,-0.00618241099143762
"GB_GCA_024233935.1",-0.0993754149668222,0.402947110554846,1.04153182484808,0.236262529496539,0.0955963416326547,-0.914537796510224,-0.275618520929611,-0.406246842889582,0.453609494965873,0.172029442879404,0.00645632780443478,0.732212719278173,0.495103591158944,-0.592130682225544,0.0626256727915045,0.00547765101427318,-0.250918928771987,-0.0395989924051495
"GB_GCA_016788865.1",-0.276687298328088,0.514893157956329,0.752814460461044,0.638843847774823,-0.12708461803171,-0.86174519146006,0.0924801900351552,-0.296881933719789,0.87403588386512,0.269767071889825,0.0750253485244643,0.273648150565716,0.378073471165223,-0.6444739985299,-0.200112181832375,-0.131607166324658,-0.45119425255235,-0.0373940076232389
"GB_GCA_016719295.1",-0.930450981775518,0.818645432640051,-0.279326605095493,-1.44875868624056,0.670865645209307,2.78126999401672,-0.180025969884276,-0.774387302497354,-0.230747519383044,-0.366535444970535,-0.189163961281758,0.222109546730217,-1.28667392103998,0.292126032040205,0.441810186059281,-0.180337914859629,-0.614813170811923,-0.00865343717852498
"GB_GCA_015661205.1",-0.0619148658565244,-0.970521118920622,-0.162163226840918,0.466407837842176,0.470235388064354,2.64243386373502,-0.095917530777939,-0.437660072127666,-0.904543428771156,0.101001034609694,-0.692988483377213,0.278641853858235,0.190781213574493,-0.074515484225492,-1.01666887404387,-0.462826044575341,1.67389054324448,0.0799694531493545
"RS_GCF_000949635.1",-0.269939460095135,-0.745851296506504,-0.628455840608138,0.0953757815292011,-0.855142228743313,2.37906516950447,0.653140288022733,0.205791818194664,-1.26645355731714,-0.482931090673963,-0.674643541911653,-0.636586329367443,0.454136230477224,-0.0730114883402256,-1.58966097372327,-0.443027899510316,1.51585443513339,0.0676903433037631
